map,region,area type,elderly percentage,access to doctors,uninsured,diabetes,cardiovascular disease,poverty,african american,Hispanic,risk score,vulnerability score,covid risk,social vulnerability
13201,southeast,rural,high elderly percentage,high access to doctors,very high uninsured rate,very high diabetes rate,high cardiovascular disease rate,very high poverty rate,null,very low hispanic population,0.848138,0.693781174,very high covid risk index,very high social vulnerability rank
47143,southeast,rural,moderate elderly percentage,high access to doctors,high uninsured rate,very high diabetes rate,moderate cardiovascular disease rate,high poverty rate,medium african american population,medium hispanic population,0.848456,0.688634193,very high covid risk index,very high social vulnerability rank
53047,pacific,rural,high elderly percentage,very low access to doctors,high uninsured rate,low diabetes rate,very low cardiovascular disease rate,high poverty rate,very low african american population,very high hispanic population,0.848774,0.709487424,very high covid risk index,very high social vulnerability rank
13233,southeast,rural,low elderly percentage,very high access to doctors,very high uninsured rate,very high diabetes rate,very high cardiovascular disease rate,very high poverty rate,high african american population,high hispanic population,0.849093,0.698397538,very high covid risk index,very high social vulnerability rank
13173,southeast,small city,very low elderly percentage,null,very high uninsured rate,very high diabetes rate,high cardiovascular disease rate,very high poverty rate,null,medium hispanic population,0.849411,0.714050727,very high covid risk index,very high social vulnerability rank
28005,southeast,rural,very high elderly percentage,very high access to doctors,very high uninsured rate,high diabetes rate,low cardiovascular disease rate,very high poverty rate,null,very low hispanic population,0.849729,0.686246418,very high covid risk index,very high social vulnerability rank
40005,southwest,rural,moderate elderly percentage,very high access to doctors,very high uninsured rate,high diabetes rate,very high cardiovascular disease rate,very high poverty rate,high african american population,medium hispanic population,0.850048,0.694258729,very high covid risk index,very high social vulnerability rank
40063,southwest,rural,moderate elderly percentage,high access to doctors,very high uninsured rate,very high diabetes rate,moderate cardiovascular disease rate,very high poverty rate,high african american population,medium hispanic population,0.850366,0.696805688,very high covid risk index,very high social vulnerability rank
21169,southeast,rural,moderate elderly percentage,very high access to doctors,very low uninsured rate,moderate diabetes rate,high cardiovascular disease rate,very high poverty rate,low african american population,very low hispanic population,0.850684,0.667780962,very high covid risk index,very high social vulnerability rank
28127,southeast,small city,low elderly percentage,high access to doctors,high uninsured rate,very high diabetes rate,moderate cardiovascular disease rate,very high poverty rate,null,very low hispanic population,0.851003,0.729332485,very high covid risk index,very high social vulnerability rank
13217,southeast,suburban,very low elderly percentage,very high access to doctors,high uninsured rate,very high diabetes rate,high cardiovascular disease rate,moderate poverty rate,null,medium hispanic population,0.851321,0.672556511,very high covid risk index,very high social vulnerability rank
47129,southeast,small city,low elderly percentage,very high access to doctors,high uninsured rate,very high diabetes rate,high cardiovascular disease rate,very high poverty rate,high african american population,very low hispanic population,0.85164,0.649368566,very high covid risk index,high social vulnerability rank
1087,southeast,rural,moderate elderly percentage,high access to doctors,moderate uninsured rate,very high diabetes rate,moderate cardiovascular disease rate,very high poverty rate,null,very low hispanic population,0.851958,0.653825746,very high covid risk index,very high social vulnerability rank
13159,southeast,suburban,low elderly percentage,high access to doctors,very high uninsured rate,moderate diabetes rate,moderate cardiovascular disease rate,moderate poverty rate,null,medium hispanic population,0.852276,0.689430118,very high covid risk index,very high social vulnerability rank
51105,southeast,rural,high elderly percentage,very high access to doctors,high uninsured rate,very high diabetes rate,very high cardiovascular disease rate,very high poverty rate,high african american population,very low hispanic population,0.852595,0.636846015,very high covid risk index,high social vulnerability rank
